1	;emp-1-1	;13	;180.5
2	;emp-2-1	;17	;0.9
3	;emp-3-1	;13	;720.7
4	;emp-4-1	;7	;160.1
5	;emp-5-1	;7	;30.4
6	;emp-6-1	;14	;0.6
7	;emp-7-1	;1	;40.0
8	;emp-8-1	;10	;320.9
9	;emp-9-1	;1	;720.8
10	;emp-10-1	;14	;80.2
11	;emp-11-1	;5	;60.9
12	;emp-12-1	;4	;420.5
13	;emp-13-1	;2	;450.7
14	;emp-14-1	;9	;50.7
15	;emp-15-1	;7	;200.9
16	;emp-16-1	;15	;30.8
17	;emp-17-1	;9	;120.1
18	;emp-18-1	;3	;140.6
19	;emp-19-1	;8	;200.1
20	;emp-20-1	;3	;50.1
21	;emp-21-1	;15	;200.2
22	;emp-22-1	;13	;30.6
23	;emp-23-1	;14	;420.8
24	;emp-24-1	;1	;0.3
25	;emp-25-1	;12	;0.2
26	;emp-26-1	;16	;400.1
27	;emp-27-1	;14	;80.4
28	;emp-28-1	;9	;160.1
29	;emp-29-1	;4	;0.8
30	;emp-30-1	;13	;0.1
1	;emp-1-1	;8	;30.6
2	;emp-2-1	;20	;360.5
3	;emp-3-1	;20	;180.1
4	;emp-4-1	;1	;420.7
5	;emp-5-1	;2	;0.0
6	;emp-6-1	;3	;0.1
7	;emp-7-1	;15	;150.6
8	;emp-8-1	;14	;360.9
9	;emp-9-1	;17	;0.6
10	;emp-10-1	;20	;480.3
11	;emp-11-1	;16	;80.8
12	;emp-12-1	;2	;350.5
13	;emp-13-1	;19	;10.4
14	;emp-14-1	;2	;0.1
15	;emp-15-1	;10	;0.1
16	;emp-16-1	;9	;40.5
17	;emp-17-1	;15	;30.9
18	;emp-18-1	;18	;270.1
19	;emp-19-1	;17	;540.7
20	;emp-20-1	;6	;0.5
21	;emp-21-1	;7	;240.8
22	;emp-22-1	;18	;560.9
23	;emp-23-1	;4	;60.1
24	;emp-24-1	;18	;420.1
25	;emp-25-1	;5	;0.6
26	;emp-26-1	;8	;490.3
27	;emp-27-1	;3	;50.7
28	;emp-28-1	;3	;100.5
29	;emp-29-1	;7	;490.2
30	;emp-30-1	;7	;0.9
1	;emp-1-1	;4	;50.3
2	;emp-2-1	;20	;280.2
3	;emp-3-1	;13	;240.1
4	;emp-4-1	;13	;120.2
5	;emp-5-1	;11	;630.0
6	;emp-6-1	;0	;240.3
7	;emp-7-1	;5	;0.3
8	;emp-8-1	;16	;420.5
9	;emp-9-1	;1	;100.8
10	;emp-10-1	;20	;300.9
11	;emp-11-1	;19	;540.3
12	;emp-12-1	;4	;560.2
13	;emp-13-1	;20	;40.4
14	;emp-14-1	;7	;350.0
15	;emp-15-1	;13	;0.1
16	;emp-16-1	;6	;180.7
17	;emp-17-1	;1	;70.0
18	;emp-18-1	;9	;140.2
19	;emp-19-1	;9	;450.1
